proverbs ,meaning
Labalábá kì í bá wọn nájà ẹlẹ́gùn-ún; aṣọ-ọ ẹ̀ á fàya.,One should know one’s limitations and act accordingly
"Ogun àgbọ́tẹ́lẹ̀ kì í pa arọ, ìyẹn fárọ tó bá gbọ́n.",One must take advantage of foreknowledge to protect oneself.
Ohun tí ajá rí tó fi ń gbó ò tó èyí tí àgùntán fi ń ṣèran wò.,Some people make mountains out of other people’s molehills.
"Ẹyẹlé kì í bónílé jẹ, kó bónílé mu, kó dọjọ́ ikú kó yẹrí.","If one shares the good times with a person, one should be prepared to share the bad times also."
Ọjọ́ àkàrà ìyá bá kùtà là ń mọ ọmọ tó lè jẹ̀kọ.,Difficult situations often reveal your true allies.
Bí òkété bá dàgbà tán ọmú ọmọ rẹ̀ ní mu,"Once a squirrel gets old, it sucks its child’s breasts."
Ọjọ́ a bá kọ́lẹ làá kọ́nú rírọ̀.,"One a decision is made, one must embrace its consequences"
"Bí ológìnní bá lọ sájò tó bọ̀, inú èkúté a bàjẹ́.",The oppressed always bemoan their oppressor’s good fortune.
"Bí eégún ò bá ṣe ohun tó tóbi, atọ́kùn-un rẹ̀ kì í tú u wò.",Only extraordinary actions call for extraordinary reactions.
"Bí ayé bá já, kò ṣéé so.",A lost life is irretrievable
Ayé ò ríni nígbà tí a sun ọ̀gẹ̀dẹ̀ jẹ; ìgbà tí a fi ẹ̀gúsí sebẹ̀ tó pọ́n bí edé layé ríni.,People have time only for those whose stars are ascending
"Ayé ò fẹ́ni fọ́rọ̀, àfi orí ẹni.","Only one’s guardian spirit, not other people, wishes one to prosper."
"Àjùmọ̀bí ò kan tàánú, ẹni ọlọ́run rán síni ní ṣeni lóore",Arm of flesh often fails: place your hope in no one; look unto God as your ultimate source.
"Àì-kúkú-joyè, ó sàn ju, ‘‘Ẹnu mi ò ká ìlú’’ lọ.",A person who does not assume a responsibility is better off than a person who takes it on and fails to fulfill it.
"Bí a kò bá jẹun sẹ́yìn àwo, ààrà ò lè bo ibi táa ti jẹun.","There is no smoke without a fire, there is no problem without a cause or a root, in order to get rid of the problem eliminate the source of the problem"
"Ọ̀dájú ló bówó, ìtìjú ló bí gbèsè",Nothing succeeds without audaciousness. If you must succeed in life you would have to wear your garment of audacity.
"Ọ̀nà làá ṣì mọ̀nà bí a ò bá ṣubú, a kì í mọ ẹrù ẹníí dì",Errors and failures are opportunities to learn
Ogún ẹni kì í pọ̀ títí ká pin fáráadúgbọ̀.,One must learn how to manage one’s resources wisely
Ìpàkọ́ onípàkọ́ là ń rí; eniẹlẹ́ni ní ń rí tẹni.,"One usually pays closer attention to other people’s faults than to one’s own, of which others are quite aware."
"Ọ̀gọ́ tà, ọ̀gọ́ ò tà, owó aláàárù á pé","Whether a civil servant performs his/her duties or not, salary will be paid at the end of the month."
"O ò bá so iyùn kó o so sège mọ́rùn pẹ̀lú, bí ata wẹrẹ báyìí ni óò rí lójù a búni.","Regardless of your popularity, your haters will still see you as worthless."
"Àìrìn jìnà la ò bá wọn rábuké ọ̀kẹ́rẹ́, afọ́jú ẹyẹ́ ń bẹ lókò kánrin kése.",Do not prove that you know it all. Be open minded and teachable
"Ohun tí láwóróko ṣe tó gbowó, ohun náà ni láwóródo ṣe tó fi gba ìfọ́tí olóòyí.",The human journey is quite different and unique in their own ways. What works for others might not work for you.
A kì í yàgò fún ẹlẹ́ṣin àná. ,Past glory avails little in the present.
A kì í yàgò fún ‘‘Mo gun ẹṣin rí o!’’ ,People should not expect to live on past glory. 
A léṣu sílẹ̀ páńdọ̀rọ̀-ọ́ já lù ú; èlé ni bénì? ,"The fruit might look something like a yam, but it does not belong with yams."
"À ń báni mú adìẹ à ń forúnkún bó; bówó bá ba òkókó, a ò ní fún aládìẹ? ","One should not be overzealous in helping others, especially when no benefit will accrue to one from the effort."
"À ń bẹ̀rù alájá, ajá ṣebí òun là ń bẹ̀rù. ","A person who has a powerful patron mistakenly believes that the respect he enjoys from others is due to his or her own qualities, whereas it is reflected from the patron."
"À ń gé e lọ́wọ́, ó ń bọ òrùka. ","The person has been judged undeserving of a hand; it is an affront, therefore, for him or her to adorn the fingers—an indication of heedlessness. "
"A ní ká wá ẹni tó lẹ́hìn ká fọmọ fún, abuké ní òun rèé; ti gànnàkù ẹ̀hìn-in rẹ̀ là ń wí? ",Since the expression that translates as ‘‘prominent back’’ is an idiom meaning a proud pedigree. the humpback makes a rather embarrassing mistake. 
"A ní Tanlúkú ò mọ̀-ọ́ jó, Tàǹlukú wá gbè é lẹ́sẹ̀. ",A person who is as helpless as the person in trouble should not offer to rescue him/her.
"À ń já ìbàǹtẹ́ ẹ̀ lẹ́hìn, ó ń já tará iwájú. ",Attacks on him do not stop him from belaboring his enemies.
"À ń sọ̀rọ̀ olè, aboyún ń dáhùn; odiidi èèyàn ló gbé pamọ́. ",Her condition makes her guilty of concealment.
"À ń sunkún Awúgbó, Awúgbó ò sunkún ara-a ẹ̀. ",The person the proverb is aimed at is too daft to realize his or her sorry plight.
"À ń wá ẹni tí a ó fọmọ fún, olòṣì ń yọjú. ",People should know their place and not overrate themselves. 
"À ń wọ́nà àti fi aṣiwèrè sílẹ̀, ó ní bí a bá dé òkè odò ká dúró de òun. ","If people are seeking ways of getting rid of a person, that person should not lay down his conditions for remaining with them"
A ò lóbìnrin à ń dá oóyọ́ sí; bí a bá dá oóyọ́ sí ewúrẹ́ ni yó jẹ . ,"The vegetable is used in stews, and stews are for wives to cook."
A ò mọ ohun tí Dárò-ó ní kó tó wí pé olè-é kó òun. ,The poor person conveniently blames his poverty on thieves. 
A ò mọ ohun tí eléwé-e gbégbé ń tà kó tó sọ pé ọjà ò tà.,The seller of goods nobody wants blames her fortune on the slow market.
A pè ọ́ lọ́mọ erín-màgbọn ò ń yọ̀; ìwọ pàápàá ló mì í? ,"The description honors the father, not the person being addressed"
"A rí èyí rí ni tonílé; a ò rí èyí rí ni tàlejò; bónílé bá ní ká jẹ tán, àlejò a ní ká jẹ kù.  ","A host might minimize his hospitality, but the guest should praise it; if the host is lavish, the guest should not be greedy."
A rígi lóko ká tó fi ọ̀mọ̀ gbẹ́ ìlù. ,One should never presume to be the only possible answer to every challenge.
"A sìnkú tán, alugbá ò lọ; ó fẹ́ẹ́ ṣúpó ni? ",One should always know when to take one’s leave. 
Aaka ò gbé ọ̀dàn; igbó ní ń gbé. ,Certain things are proper; certain things are not.
"Àáyá yó níjọ́ kan, ó ní ká ká òun léhín ọ̀kánkán. ",Excessive happiness made the animal careless.
"Aáyán ati eèràá ṣígun, wọ́ ní àwọn ń lọ mú adìẹ; àlọ la rí, a ò rábọ̀.  ",
Aáyán fẹ́ gẹṣin; adìẹ ni ò gbà fún un. ,A cockroach that stirs in the presence of a chicken is as good as dead. 
Aáyán fẹ́ jó; adìẹ ni ò jẹ́ .,The chickens will eagerly peck it to death. 
Aáyán kì í yán ẹsẹ̀ erin; èèyàn kì í yán ẹsẹ̀ irò. ,One should not take on adversaries one cannot match.
Àbá ni ikán ń dá; ikán ò lè mu òkúta. ,"Though termites may make their tunnels on a rock, the rock will be safe."
A-báni-gbé kì í yáná; a-bọ̀rìṣà kì í sun òtútù; ẹyin gẹ́gẹ́ kì í gbé àwùjọ; ilé kannáà ni wọ́n kọ́ fún àwọn mẹ́tẹ̀ẹ̀ta.,Know yourself and your place.
"A-bánijẹun-bí-aláìmọra, ó bu òkèlè bí ẹ̀gbọ́n ìyá ẹ̀. ","When eating in company, one should be restrained. A man eating with the child of his younger sister need show no such restraint."
A-bèèrè kì í ṣìnà. ,One should admit one’s weaknesses. 
À-bí-ì-kọ́; à-kọ́-ì-gbà; òde ló ti ń kọ́gbọ́n wálé. ,Look well to your child’s upbringing.
A-binú-fùfù ní ń wá oúnjẹ fún a-binú wẹ́rẹ́ -wẹ́rẹ́ . ,Whatever good fortune might have been meant for the volatile person will wind up in the lot of the mild-mannered person. 
Aboyún kì í jó bẹ̀mbẹ́ : a-bodò-ikùn kẹ̀rẹ̀bẹ̀tẹ̀. ,One should match one’s actions to one’s circumstances.
Àbọ̀ ejò kì í gbé isà. ,One should act according to one’s circumstances.
" Abùlàǹgà kì í ṣasán: bíyàá ò lọ́rọ̀, baba a lówó lọ́wọ́. ","There is, or should be, some basis for one’s strutting."
Abùléra ọ̀fọ́n-ọ̀n: ó ní ọjọ́ tí ológbò-ó ti bí òun ò ìtí-ì dá a ní báríkà. ,Never forget your vulnerabilities and limitations.
Àbúrò kì í pa ẹ̀gbọ́n nítàn. ,One should not exceed one’s station.
"Àbúrò rẹ ń dáṣọ fún ọ, o ní o ò lo elékuru; ta ní ń lo alákàrà? ",One should act in accordance to one’s station in life.
A-dá-má-lè-ṣe àdàbà tí ń dún bẹ̀m̀bẹ̀. ,Bombast often masks fickleness.
"Adẹ́tẹ̀ ní òun ò lè fún wàrà, ṣùgbọ́n òun lè yí i dànù. ",Even feckless people can cause some damage.
"Adẹ́tẹ̀- rí wèrè, ó kán lùgbẹ́ . ",A person who should be ostracized ostracizes others.
"Adẹ́tẹ̀ sọ̀rọ̀ méjì, ó fìkan purọ́; ó ní nígbà tí òun lu ọmọ òun lábàrá, òun já a léèékánná pàtì. ",One fools only oneself when one claims to have done the impossible.
Adìẹ funfun ò mọ ara ẹ̀ lágbà. ,One should act one’s age always.
Adìẹ ò bí yọyọ kú yọ̀. ,Children should not be the death of their parents.
"Adìẹ tó ṣu tí kò tọ̀, ara-a rẹ̀ ló kù sí. ","Self-deprivation hurts the person concerned, not anyone else."
Adígbọ́nránkú ń fikú ṣeré. ,"If one persists in flirting with disaster, disaster is likely to befall one."
A-dìtan-mọ́ èsúó; ó ní èkùlù ló bí ìyá òun. ,Never make preposterous claims of kinship.
"Adití ò gbọ́, ‘‘Yàgò!’’ ",Cautionary words are lost on reckless people. 
"À-fà-tiiri ni tìyàwó; bí a bá fà á tí kò tiiri, ó ní ohun tó ń ṣe é. ","However eager the bride, she must appear coy and shy; one should behave with decorum appropriate to one’s position."
Àfi ohun tí a kì í tà lọ́jà lẹrú kì í jẹ. ,A slave has no choice.
Afínjú ní ń jẹ iwọ; ọ̀mọ̀ràn ní ń jẹ obì; màrí-màjẹ ní ń jẹ awùsá. ,People are what they eat; each to his or her own taste.
Afínjú wọ ọjà ó rìn gbẹnd kẹ; ọ̀bún wọ ọjà ó rìn ṣùọ̀ṣùọ̀; ọ̀bùn ní ó ru ẹrù afínjú relé.,Good breeding confers great advantages.
Afínjúu Ààre; ó fi àkísà dí orùbà; ó ń wá ẹniire-é bá sú epo. ,Never compromise on cleanliness and good character.
"Afínjú-u póńpólà, ogé kun osùn láìwẹ̀. ",Cleanliness should be more than a matter of appearance.
Àfòpiná tó f paná-a súyà; ẹrán pọ̀ sí i. ,A person who foolishly attempts dangerous tasks courts destruction. This is a variant of the following entry.
"Àfòpiná tó ní òun ó pa fìtílà, ara ẹ ni yó pa. ",It is unwise to take on an adversary one knows can destroy one.
"Afọ́jú tó dijú, tó ní òun sùn, ìgbàtí kò sùn ta ló rí? ",The deceiver deceives himself or herself.
A-fọ́nú-fọra ní ń fi òṣì jó bàtá.,Know your place and live according to your circumstances.
"Àgó tó gbó ṣáṣá, ẹ̀bìtí pa á; aḿbọ̀sì olóósè a-bara-kùọ̀kùọ̀. ","If the green wood is consumed, the dry wood has no prayer."
Àgùnbánirọ̀ ní ń fojúdini. ,"Even in a company, each person should know his or her relative station."
Àgbà ajá kì í bàwọ̀j́ .,Decorum goes with age.
Àgbà ìmàle kì í káṣọ kọ́rùn. ,One should behave as is proper for one’s position.
Àgbà kán ṣe bẹ́ẹ̀ lÓgùn; Yemaja ló gbé e lọ.,Thoughtless emulation of others could be disastrous.
Àgbà kì í fàárọ̀ họ ìdí kó má kan funfun. ,Improper behavior brings disgrace.
Àgbà kì í ṣerée kí-ló-bá-yìí-wá? ,An Elders should show decorum. 
Àgbà kì í ṣorò bí èwe. ,The elder’s performance should be commensurate with his station and status.
Àgbà kì í wà lọ́jà kórí ọmọ titun wọ́. ,Elders must not permit untoward happenings in their presence.
Àgbá òfìfo ní ń pariwo; àpò tó kún fówó kì í dún. ,Persons of little worth make the most noise.
Àgbà tí kò lẹ́sẹ̀ nílẹ̀ a lọ́gbọ́n nínú. ,One should know one’s limitations and how to compensate for them.
Àgbà tí kò mọ ìwọ̀n ara-a rẹ̀ lodò ń gbé lọ́. ,Elders who cannot swim will be cautious near rivers.
"Àgbà tí kò nítìjú, ojú kan ni ìbá ní; ojú kan náà a wà lọ́gangan iwájú-u rẹ̀.",Shamelessness does not become an elder.
"Àgbà tí yó tẹ̀ẹ́ , bó fárí tán, a ní ó ku járá ẹnu. ",One should know how far one may go before one suffers disgrace.
Àgbà tó bú ọmọdé fi èébú-u rẹ̀ tọrọ. ,Only those who show respect for others may expect respect in return. Compare the preceding and following entries.
Àgbà tó fi ara-a rẹ̀ féwe lèwe ń bú. ,"If one wants to be respected, one should respect oneself. "
Àgbà tó mọ ìtìjú kì í folè ṣeré. ,Anything that smacks of stealing will disgrace an elder.
Àgbà tó torí ogójì wọ ìyẹ̀wù: igbawó ò tó ohun à-mú-ṣèyẹ. ,One must act as one’s station demands. 
"Àgbààgbà ìlú ò lè péjọ kí wọn ó jẹ ìfun òkété, àfi iyán àná. ",People should behave in ways that befit their station.
"À-gbàbọ̀-ọ ṣòkòtò, bí kò fúnni lẹ́sẹ̀ a ṣoni; rẹ́múrẹ́mú ni ohun ẹni ń bani mu. ",Borrowed articles are never like one’s own.
Àgbà-ìyà tí ń mùkọ ọ̀níní: ó ní nítorí omi gbígbóná orí-i rẹ̀ ni. ,One should act according to the demands of one’s status.
"Àgbàlagbà akàn tó kó sí garawa; yègèdè, ojú tì í. ",One should avoid potentially disgraceful actions.
Àgbàlagbà kì í ṣe lágbalàgba. An elder should not behave in an unbecoming manner. ,One should behave according to one’s status.
Àgbàlagbà kì í wẹwọ́ tán kó ní òun ó jẹ si. ,An elder should know his mind.
Àgbàlagbà kì í yọ ayọ̀-ọ kí-ló-báyìí-wá? ,Moderation and decorum in everything.  
Àgbàlagbà tí ò kí Ààrẹ ń fi okùn sin ara-a rẹ̀. ,One must avoid actions that will place one at grave risk.
"Àgbàlagbà tó ń gun ọ̀pẹ, bó bá já lulẹ̀ ó dọ̀run. ",An elder should know better than to climb palm trees; one should not court danger. 
"Àgbàlagbà tó wẹ̀wù àṣejù, ẹ̀tẹ́ ni yó fi rí. ",Immoderation brings disgrace.
"Àgbàrá ba ọ̀nà j , ó rò pé òun tún ọ̀nà ṣe. ",Ignorance or incompetence in tackling a task often leads to unintended results.
Agbára wo ló wà lọ́wọ́ igbá tó fẹ́ẹ́ fi gbọ́n omi òkun? ,People should not overreach.
Àgbéré àwòdì ní ń ní òun ó jẹ ìgbín. ,Know your limits. 
Àgbéré laáyán gbé tó ní òun ó jòó láàárín adìẹ. ,The chickens will eagerly peck it to death. 
Àgbéré lẹyẹ ń gbé; kò lè mu omi inú àgbọn. ,One should know one’s limits.
Àgbéré-e ṣìgìdì tó ní ká gbé òun sójò: bí apá ti ń ya nitan ń ya; kidiri orí ò lè dá dúró. ,One should know one’s limitations.
Ahọ́n ni ìpínnlẹ̀ ẹnu. ,There is a limit to everything.
Àì-jọnilójú lọ́sàn-án ní ń múni jarunpá luni lóru. ,Familiarity breeds contempt.
"Àì-kúkú-joyè, ó sàn ju, ‘‘Ẹnu mi ò ká ìlú’’ lọ. ",A person who does not assume a responsibility is better off than a person who takes it on and fails to fulfill it.
"Àì-lápá làdá ò mú; bí a bá lápá, ọmọ owú tó-ó gégi. ",One should not blame one’s deficiencies on one’s tools.
"Àì-lè-jà ni à ń sọ pé, ‘‘Ojúde baba-à mi ò dé ìhín.’’",A coward will find any excuse to avoid a just fight.
"Àì-mọ̀-kan, àì-mọ̀-kàn ní mú èkúté-ilé pe ológbò níjà. ",Never taunt an adversary you cannot handle.
Àìsí èèyàn lóko là ń bá ajá sọ̀rọ̀.,"But for unfortunate circumstances, one would not deign to associate with certain people."
"Àìsí-ńlé ẹkùn, ajá ń gbó. ","When the master is away, the minion will strut. "
"Àìsí-ńlé ológbò, ilé dilé èkúté. ",People will take advantage of any relaxation of supervision. See the previous entry.
Àìso àbà ló m yẹ wá jẹ̀gbá; ẹyẹ kì í jẹ̀gbá. ,"But for unavoidable misfortune, one would not have been reduced to the demeaning circumstance in which one finds oneself."
Ajá kì í gbó níbojì ẹkùn. ,One must defer to one’s superiors. 
Ajá kì í rorò kó ṣọ́ ojúlé méjì. ,One cannot serve two masters simultaneously.
Ajá mọ ìgbẹ́ ; ẹlẹ́dẹ̀ mọ àfọ̀; tòlótòló mọ ẹni tí yó yìnbọn ìdí sí. ,People should know who are their peers and who are not.
Ajá ò gbọdọ̀ dé mọ́ṣáláṣí ìkókò ṣàlùwàlá.,One should not exceed one’s station.
Ajá rí epo kò lá; ìyá-a rẹ̀ẹ́ ṣu ihá bí? ,One should not be unreasonably squeamish.
"Ajá tó ń lépa ẹkùn, ìyọnu ló ń wá. ",One should not overreach oneself.
Ajá tún padà sí èébì-i rẹ̀. ,To accept what one has once rejected is to lose face.
"Àjàjà ṣoge àparò, abàyà kelú. ",The nouveau riche always goes to extremes in consumption.
Àjànàkú ò tu lójú alájá; o-nígba-ajá ò gbọdọ̀ tọ́pa erin. T,Even two hundred dogs are no match for an elephant.
"Ìjàpá ní kò sí ohun tó dà bí ohun tí a mọ̀ọ́ṣe; ó ní bí òun bá ju ẹyìn sẹ́nu, òun a tu èkùrọ́ sílẹ̀. ",Nothing succeeds like expertise.
"Ìjàpá ní òun tí ìbá só ló sùn yí, bẹ́ẹ̀ni ẹní bá sùn kì í só. ",Some defenses are so transparent as to be frivolous.
"Ìjàpá ń lọ sájò, wọ́n ní ìgbà wo ni yó dèé, ó ní ó dìgbàtí òún bá tẹ́ . ",Certain people will not change course until they are disgraced.
Àjátì àwọ̀n ní ń kọ́ òrofó lọ́gbọ́n.,"Careless, imprudent persons have their nemesis waiting for them."
À-jẹ-ì-kúrò ní ń pa ẹmọ́n; à-jẹ-ì-kúrò ní ń pa àfè; à-jẹ-ì-kúrò ní ń pa máláàjú.,Lack of moderation leads to death.
À-jẹ-pọ̀ ni tàdán. ,This observation on a being with no self restraint could also be a wish that a person not benefit from something he or she has appropriated.
"À-jẹ-tán, à-jẹ-ì-mọra, ká fi ọwọ́ mẹ́wẹ̀ẹ̀wá jẹun ò yẹ ọmọ èèyàn. ",People should not be slaves to food.
"À-jókòó-àì-dìde, à-sọ̀rọ̀-àì-gbèsì, ká sinni títí ká má padà sílé: àì-sunwọ̀n ní ń gbẹ̀hìn-in rẹ̀. ",Excess and self-forgetfulness in anything bring unpleasant results.
Àkàtàm̀pò ò tó ìjà-á jà; ta ní tó mú igi wá kò ó lójú? ,A stick is no match for a bow.
Àkíìjẹ́ mú òrìṣà níyì. ,Distancing oneself from ordinary people lends one prestige.
"Àkísà-á mọ ìwọ̀n ara-a rẹ̀, ó gbé párá jẹ́ . ",A person of low standing should not call attention to himself or herself.
Àkókó inú igbó ní àwọ́n lè gbẹ́ odó; ọ̀pọ̀lọ́ lódòó ní àwọ́n lè lọ́ ìlẹ̀kẹ̀; awúrebé ní àwọ́n lè hun aṣọ. ,Misplaced self-confidence leads the creatures into empty boasts
Akórira ò ní nǹkan; ọ̀dùn ò sunwọ̀n fún ṣòkòtò. ,Excessive squeamishness renders one helpless and destitute.
"Akú, n kò ní omitooro-o rẹ̀ ẹ́ lá; àìkú, nkò níí pè é rán níṣẹ́ . ",One need pay no mind to a person who can in no way affect one’s fortune
Àkùkọ adìẹ fi dídájí ṣàgbà; ó fi ṣíṣu-sílẹ̀ ṣèwe. ,Nobody is free of some blemish.
Aláàńtètè: ó jí ní kùtùkùtù ó ní òun ó dàá yànpọ̀n-yànpọ̀n sílẹ̀. ,The puny person’s boasts are always empty.
Aládàá ló làṣẹ àro. ,"One yields authority to one’s host, or the owner of the property."
Aláìnítìjú lọ kú sílé àna-a rẹ̀. ,One should never demean oneself with unbecoming actions.
Alákòró kì í sá fógun. ,A warrior does not run from battle.
Aláǹgbá kì í lérí àti pa ejò. ,People should not propose what they cannot accomplish.
Aláṣejù ajá ní ń lépa ẹkùn. ,One should not challenge people one cannot match.
"Aláṣejù, baba ojo. ",Immoderation is a cloak for cowardice.
Aláṣejù ní ń gbẹ́bọ kọjá ìdí èṣù; a-gbé-sàráà-kọjá-a-mọ́ṣáláṣí. ,It is a grievous fault not to observe discreet limits.
"Aláṣejù, pẹ̀rẹ̀ ní ń tẹ́; àṣéjù, baba àṣetẹ́ . ",Immoderation brings disgrace. 
Aláṣejù tí ń pọkọ ní baba. ,The wife who calls her husband ‘‘father’’ carries respect beyond reasonable limits; one should not be overzealous observing proprieties.
Aláṣọ àlà kì í jókòó sísọ̀ elépo.,One should not expose oneself to abuse or danger.
Aláṣọ-kan kì í ná ànárẹ. ,A person with meager resources should husband them judiciously. 
Aláṣọ-kan kì í ṣeré òjò. ,A person with meager resources should husband them judiciously. 
Alátiṣe ní mọ àtiṣe ara-a rẹ̀. ,One should not second-guess others or try to make their decisions for them.
Àlejò kì í lọ kó mú onílé dání. ,Each person must confront his or her destiny alone.
Àlejò kì í pìtàn ìlú fónílé.,Never presume to know more than the custodian of knowledge.
Àlémú ò yẹ àgbà; àgbà kì í ṣe ohun àlémú. ,Elders should always behave in ways that would cause them no disgrace.
A-lu-dùndún kì í dárin. ,A subordinate does not set policy.
"Àmọ̀tẹ́kùn-ún fara jọ ẹkùn, kò lè ṣe bí ẹkùn. ",Looking a part does not indicate an ability to play the part.
"Amùrín ò sunwọ̀n, ó yí sáró. ",A person who has enough flaws should not seek ways to add to them. 
Ànán-mánàán ẹtú jìnfìn; oní-mónìí ẹtú jìnfìn; ẹran mìíràn ò sí nígbó l hìn ẹtu? ,"If the same person repeatedly finds himself or herself in difficulties others are able to avoid, one should look to the person’s character for the explanation."
Apá èkúté-ilé ò ká awùsá; kìkìi yíyíkiri ló mọ. ,Some people are beyond any schemes by their enemies.
"Àpárá ń lá, ìjà ní ń dà. ",Jokes should have limits.
Àpárá ń lá ni iná ń dá; iná ò lè rí omi gbéṣe. ,Certain people are beyond the reach of their adversaries.
Àpárá ń lá nikán ń dá; ikán ò lè mu òkúta. ,Certain people do not know their place
Àpọ́nlé ni ‘‘Fọ́maànù’’; ẹnìkan ò lè ṣe èèyàn mẹ́rin. ,"People whose positions earn them respect should not forget themselves, or people would forget their positions. "
Àpọ́nlé ni ‘‘Iyá-a Káà’’; ìyá kan ò sí ní káà tí kò lórúkọ. ,People in a position of respect should not forget that respect can be withdrawn. 
Ará okó ní òun gbọ́ fínrín fínrín; ta ló sọ fun bí kò ṣe ará ile? ,People should not presume to instruct those who know better than they.
"Ara-àìbalẹ̀, olórí àrùn. ",No disease is greater than hyperactivity.
Àrífín ilé ò j ká jẹ òròmọ adìẹ. ,A person who would retain esteem among his or her peers must not act beneath himself or herself.
À-rí-ì-gbọdọ̀-wí: baálé ilé ṣu sápẹ. ,"When an illustrious person does the unmentionable, no one dares speak. "
"Àrí-ì-gbọdọ̀-wí, baálé ilé yọkun lémú.","When a venerable person acts like a fool, few dare tell him so."
Arọ̀lẹ̀kẹ̀ ò rọ bàtà; gbẹ́dó-gbẹ́dó ò rọ ojúgun. ,People should stick to what they are qualified to do.
Àṣá kì í rà kádìẹ gbé kòkòrò dání. ,"When a great danger threatens, one does not wait for small favors."
" A-ṣe-bọ̀rọ̀kìnní-má-kìíyè-sábíyá, gbogbo abíyá dọ́ṣẹ. ",Attention to detail is integral to good character or breeding.
Àṣejù baba àṣetẹ́ ; ẹ̀tẹ́ ní ń gbẹ̀hìn àṣejù; àgbàlagbà tó wẹ̀wù àṣejù ẹ̀tẹ́ ni yó fi rí. ,Immoderation leads to disgrace. 
 À-sẹ́ -kú làgbàlagbà ń sẹ́ ọ̀ràn. ,One must never admit to doing something unworthy of one’s position. 
"Àṣẹ̀ṣẹ̀yọ màrìwò, ó ní òun ó kan ọ̀run; àwọn aṣáájúu rẹ̀-ẹ́ ṣe bẹ́ẹ̀ rí? ",Ambition should be tempered with realism. 
